neff:
2.111851616825,2.241789470948,2.350027035730,2.439555276295,2.513816010111,2.575823634760,2.628011990728,2.672293638166,2.710161693708,2.742784381762,2.771081281411,2.795781837397,2.817469469392,2.836614687967,2.853600016176,2.868738848958,2.882289826742,2.894467875740,2.905452755875,2.915395731584,2.924424818013,2.932648937597,2.940161236815,2.947041750831,2.067427300812,2.199311281623,2.310253886947,2.402500835743,2.479238541021,2.543421730134,2.597495430174,2.643405366697,2.682681425136,2.716525769956,2.745887285195,2.771520013504,2.794027780264,2.813897961103,2.831527024145,2.847239926121,2.861304930740,2.873945010274,2.885346684316,2.895666923988,2.905038585478,2.913574717343,2.921371998937,2.928513503651,2.023934541948,2.157212048118,2.270607259938,2.365471083366,2.444653745431,2.511011929050,2.566984023226,2.614540601803,2.655244425821,2.690329804562,2.720774144644,2.747355797822,2.770698945436,2.791307890405,2.809593156082,2.825891386818,2.840480595223,2.853591917619,2.865418740621,2.876123837973,2.885844991793,2.894699451451,2.902787494704,2.910195290613,1.981541854348,2.115586343225,2.231129967218,2.328479432304,2.410058966763,2.478582684795,2.536461171655,2.585679791005,2.627829369863,2.664174071993,2.695718768388,2.723265672637,2.747459178575,2.768820521758,2.787774355551,2.804669115308,2.819792673635,2.833384439351,2.845644767079,2.856742324846,2.866819902669,2.875999023420,2.884383627415,2.892063035878,1.940426672582,2.074544214683,2.191877131762,2.291548165950,2.375458144550,2.446127680239,2.505914692027,2.556807300790,2.600418539501,2.638039565622,2.670701337659,2.699229300399,2.724287808149,2.746414968437,2.766049598324,2.783552001383,2.799220004339,2.813301385751,2.826003561737,2.837501181169,2.847942120445,2.857452246208,2.866139223806,2.874095581936,1.900768598500,2.034209674715,2.152916175434,2.254708548691,2.340861787562,2.413645669256,2.475336566795,2.527911110271,2.572997482684,2.611910320440,2.645704926128,2.675229133790,2.701166880908,2.724073010077,2.744400488183,2.762521533922,2.778744002549,2.793324126559,2.806476468273,2.818381737989,2.829192972831,2.839040450606,2.848035622140,2.856274277478,1.862741570877,1.994718396914,2.114326620293,2.218000966257,2.306287028274,2.381140405546,2.444722779199,2.498982584310,2.545554746734,2.585773121455,2.620715191902,2.651250096850,2.678080835673,2.701778761397,2.722810922102,2.741561463553,2.758348321169,2.773436250468,2.787047034494,2.799367518579,2.810555970083,2.820747141983,2.830056328619,2.838582633552,1.826505502837,1.956214499965,2.076199590875,2.181475045218,2.271757734497,2.348620643257,2.414073218841,2.470016313581,2.518081675685,2.559617273375,2.595720129126,2.627279324576,2.655016234806,2.679518398070,2.701266812177,2.720657521757,2.738018567847,2.753623280675,2.767700726765,2.780443952021,2.792016517941,2.802557712715,2.812186729433,2.821006035306,1.792198152516,1.918846383279,2.038636901657,2.145189694028,2.237304652188,2.316100194747,2.383391646847,2.441010011534,2.490572261465,2.533434421751,2.570709869344,2.603305951079,2.631961543406,2.657279929724,2.679755854268,2.699797186400,2.717742068241,2.733872436466,2.748424690341,2.761598132592,2.773561676281,2.784459200289,2.794413848414,2.803531499298,1.759928096578,1.882761702553,2.001749620686,2.109213000416,2.202965550205,2.283598030724,2.352685710788,2.411964459917,2.463023041030,2.507218417737,2.545676524741,2.579320938392,2.608906948292,2.635053012118,2.658267335384,2.678969485677,2.697507667461,2.714172432820,2.729207547583,2.742818616928,2.755179955481,2.766440083030,2.776726142279,2.786147468355,1.729769610473,1.848101721797,1.965656023132,2.073621913512,2.168785333414,2.251138406948,2.321967000024,2.382883495749,2.435433032968,2.480965220190,2.520614067003,2.555316939628,2.585844210431,2.612828792127,2.636791973411,2.658164834075,2.677305563290,2.694513311593,2.710039227629,2.724095252538,2.736861144040,2.748490107039,2.759113327026,2.768843637536,1.701760017375,1.814995427414,1.930478891883,2.038501636128,2.134816085519,2.218750999735,2.291251132090,2.353774033300,2.407803708166,2.454672829965,2.495518236707,2.531288191407,2.562766545705,2.590599780398,2.615321784040,2.637374895191,2.657127166000,2.674886299120,2.690910822321,2.705419032471,2.718596162275,2.730600139129,2.741566230276,2.751610805998,1.675899701849,1.783553903870,1.896342187443,2.003944655806,2.101116997933,2.186471029862,2.260557860055,2.324646114966,2.380138989791,2.428341252150,2.470386479134,2.507230431440,2.539668529901,2.568359747534,2.593849970718,2.616592467200,2.636964980559,2.655283686004,2.671814464190,2.686781971915,2.700376937864,2.712762041544,2.724076665338,2.734440750555,1.652154589249,1.753865513091,1.863367193097,1.970049355556,2.067754136937,2.154339351213,2.229911189581,2.295512984804,2.352445278288,2.401972482595,2.445217903070,2.483140837904,2.516546024540,2.546103640423,2.572370834231,2.595811387586,2.616812507817,2.635698725678,2.652743223049,2.668177003300,2.682196299789,2.694968565008,2.706637323559,2.717326117464,1.630460568356,1.725992367012,1.831668333104,1.936918169197,2.034799999574,2.122402477070,2.199339492753,2.266391178089,2.324731497202,2.375570515517,2.420013259707,2.459017987849,2.493396120825,2.523827515970,2.550879699157,2.575026454343,2.596664161868,2.616125548933,2.633691018383,2.649597887072,2.664047887871,2.677213257286,2.689241682123,2.700260329614,1.610729151306,1.699968435296,1.801348945288,1.904655283176,2.002332810752,2.090712513652,2.168875603678,2.237300619431,2.297009155595,2.349141369184,2.394774939157,2.434861832277,2.470217099394,2.501528489938,2.529372854889,2.554233361354,2.576515201301,2.596559092095,2.614652545234,2.631039135820,2.645926075553,2.659490384926,2.671883924965,2.683237506792,1.592853638382,1.675799416812,1.772497344551,1.873363935489,1.970435521612,2.059326968021,2.138556878533,2.208264720937,2.269292422481,2.322693126774,2.369506982304,2.410673685923,2.447008404001,2.479204699030,2.507847509371,2.533428646059,2.556361672416,2.576995036950,2.595623211647,2.612495949848,2.627825904019,2.641794866252,2.654558874883,2.666252397096,1.576715155785,1.653464272606,1.745183522809,1.843143418534,1.939194483761,2.028308396600,2.108425200397,2.179310470551,2.241598208177,2.296235989395,2.344215105888,2.386456229947,2.423770627472,2.456855274635,2.486301753960,2.512609647846,2.536200362859,2.557429760843,2.576599086108,2.593964162587,2.609743026057,2.624122214013,2.637261935240,2.649300317877,1.562188107571,1.632918121962,1.719456784037,1.814085948302,1.908697796404,1.997723862236,2.078526907103,2.150468499143,2.213946246771,2.269782338046,2.318906738707,2.362213525938,2.400505508531,2.434480326879,2.464734538115,2.491774475858,2.516028764352,2.537860295617,2.557576853635,2.575440194523,2.591673658319,2.606468486357,2.619989039919,2.632377104887,1.549144773015,1.614096079530,1.695344514680,1.786273606820,1.879033353183,1.967644172904,2.048912618952,2.121773113305,2.186359172959,2.243346800907,2.293591066774,2.337951039672,2.377215938225,2.412080937853,2.443145652784,2.470921985114,2.495845043409,2.518284294305,2.538553779439,2.556921014541,2.573614540884,2.588830245003,2.602736610406,2.615479068510,1.537458947831,1.596917574180,1.672852157394,1.759775586997,1.850286650660,1.938142884803,2.019636942878,2.093262279246,2.158862585497,2.216946321870,2.268279085070,2.313675673084,2.353905974750,2.389659162951,2.421535721543,2.450051760005,2.475648019138,2.498700004651,2.519527679201,2.538404107739,2.555562903175,2.571204519686,2.585501519078,2.598602956121,1.527008651478,1.581290728705,1.651964316890,1.734645960838,1.822538456636,1.909295066994,1.990758031209,2.064977541901,2.131485088366,2.190600225564,2.242983653272,2.289395802826,2.330580865526,2.367218039407,2.399906198622,2.429164104360,2.455437147310,2.479106248656,2.500496895198,2.519887448934,2.537516435446,2.553588778068,2.568281057884,2.581745919794,1.517678000097,1.567116468477,1.632646808345,1.710922150868,1.795862468309,1.881175843893,1.962336977071,2.036963862664,2.104258299632,2.164330273448,2.217719552486,2.265121323666,2.307247075363,2.344761601131,2.378259373080,2.408260037395,2.435212510043,2.459502407513,2.481460277613,2.501369481198,2.519473265175,2.535980900472,2.551072911763,2.564905488683,1.509358381952,1.554292136942,1.614849381508,1.688624215477,1.770323111004,1.853858754519,1.934437035221,2.009269359358,2.077216816981,2.138160704722,2.192503539562,2.240863694765,2.283912319471,2.322294898948,2.356598378395,2.387341294894,2.414974810491,2.439888411324,2.462417170451,2.482849098849,2.501431937790,2.518379158835,2.533875136212,2.548079545487,1.501949080655,1.542714502000,1.598508825490,1.667754973726,1.745973632403,1.827413991259,1.907122666963,1.981944933514,2.050398128197,2.112118255036,2.167354395062,2.216635986619,2.260585599985,2.299824025370,2.334927206801,2.366410335052,2.394725372029,2.420264733124,2.443367401582,2.464325634417,2.483391401258,2.500782199434,2.516686138545,2.531266306546,1.495357481632,1.532282124425,1.583552175678,1.648300909350,1.722854631501,1.801906602771,1.880458420596,1.955043773126,2.023842454609,2.086232145211,2.142292960414,2.192452926126,2.237277244507,2.277356142909,2.313250727680,2.345470348445,2.374466141442,2.400632386753,2.424311276477,2.445798849174,2.465350994094,2.483189028940,2.499504662402,2.514464305124,
width:
0.240000,0.260000,0.280000,0.300000,0.320000,0.340000,0.360000,0.380000,0.400000,0.420000,0.440000,0.460000,0.480000,0.500000,0.520000,0.540000,0.560000,0.580000,0.600000,0.620000,0.640000,0.660000,0.680000,0.700000,
wavelength:
1.200000,1.220000,1.240000,1.260000,1.280000,1.300000,1.320000,1.340000,1.360000,1.380000,1.400000,1.420000,1.440000,1.460000,1.480000,1.500000,1.520000,1.540000,1.560000,1.580000,1.600000,1.620000,1.640000,1.660000,1.680000,1.700000,
